PC,Instruction,Index,Stack,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,VA,VB,VC,VD,VE,VF,Delay,Sound
0x0200,0x00e0,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0202,0xa22a,0x022a,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0204,0x600c,0x022a,0000,0x000c,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0206,0x6108,0x022a,0000,0x000c,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0208,0xd01f,0x022a,0000,0x000c,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x020a,0x7009,0x022a,0000,0x0015,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x020c,0xa239,0x0239,0000,0x0015,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x020e,0xd01f,0x0239,0000,0x0015,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0210,0xa248,0x0248,0000,0x0015,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0212,0x7008,0x0248,0000,0x001d,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0214,0xd01f,0x0248,0000,0x001d,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0216,0x7004,0x0248,0000,0x0021,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0218,0xa257,0x0257,0000,0x0021,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x021a,0xd01f,0x0257,0000,0x0021,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x021c,0x7008,0x0257,0000,0x0029,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x021e,0xa266,0x0266,0000,0x0029,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0220,0xd01f,0x0266,0000,0x0029,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0222,0x7008,0x0266,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0224,0xa275,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0226,0xd01f,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0x0228,0x1228,0x0275,0000,0x0031,0x0008,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
